		SMLE					ACML		
r	Covariate	Bias	SE	SEE	CP		Bias	SE	RE
0	$X$	0.0023188820536596	0.130524560782566	0.130562681012055	0.9525		0.000590305615735864	0.130195526845841	1.00506084528082
	$Z$	0.00103974983990107	0.119547761085784	0.120736817956332	0.9535		0.000147570750552384	0.131162953271537	0.8307311978072
	$\bT$	-0.00171530897426003	0.130843532600753	0.127289283758535	0.9444		-0.000760322470870989	0.156764805079792	0.696638365468962
	$X\bT$	0.00419820888728129	0.213176986238313	0.205358982169037	0.942		0.000407213128141515	0.207373001757226	1.05675961474815
	$Z\bT$	-0.00114339558392679	0.129289715723756	0.130582490351898	0.9527		8.08459780328175e-05	0.205434800088559	0.396077282420306
1	$X$	0.00533245229156443	0.183315643122627	0.184876423060522	0.9508		0.000668799512330676	0.184550717384509	0.986660127717778
	$Z$	-0.00112490061109261	0.122920825656894	0.124687476734695	0.955		-3.87318542761084e-05	0.133452125357364	0.848398609377716
	$\bT$	-0.000179034267552169	0.0994989106948067	0.0992190583916794	0.9499		0.000210051398659539	0.156859535893227	0.402360001306899
	$X\bT$	0.00265014691125764	0.300932240540772	0.292715806361099	0.9393		0.000814411989190855	0.293642920979455	1.05026372625368
	$Z\bT$	-0.0013395168419339	0.173742167947024	0.172081026333318	0.9463		-0.00105271832568504	0.205956976028903	0.7116352616675
2	$X$	0.0124961742063085	0.293683104464733	0.298232502893016	0.9541		0.000657547688965254	0.303027242627978	0.939278922160608
	$Z$	-0.00385356093003708	0.127765618602478	0.130078222411731	0.9545		0.000472287227519241	0.138660385070582	0.849030320827582
	$\bT$	9.27030632352221e-05	0.104342087450635	0.104458499153699	0.9515		0.00057815928803423	0.157371495889797	0.439609324656475
	$X\bT$	0.00371490830437904	0.451414172001329	0.446256806570056	0.9428		0.0023139072172107	0.463229577758677	0.949637411007334
	$Z\bT$	-0.00142171694267185	0.187777830064994	0.187237612121633	0.9479		-0.00152309026731773	0.204936218747686	0.839558947726195
3	$X$	0.0258327850864693	0.425106207156486	0.442655458279411	0.9608		0.000866027085062948	0.451779800539952	0.885403580667093
	$Z$	-0.00676567508862214	0.132158918618423	0.137795847938944	0.9623		0.00064633845512585	0.145851546138275	0.821052406103105
	$\bT$	-0.00014899395363005	0.109479170123752	0.110667387065272	0.955		0.000268636767249475	0.15650946034654	0.489307424373916
	$X\bT$	0.0011170980781206	0.636189853190967	0.642129468826103	0.9514		0.00131697576713136	0.655979643174495	0.940573528352292
	$Z\bT$	-0.000308183821566443	0.193860051553354	0.197000814735816	0.9509		-0.000856269235954221	0.205106176610363	0.893344915165472
