		SMLE					ACML		
r	Covariate	Bias	SE	SEE	CP		Bias	SE	RE
0	$X$	0.00214283955451949	0.130182240767137	0.130520215650559	0.954		0.000590305615735864	0.130195526845841	0.999795916171283
	$Z$	0.000992396418698194	0.11952355383913	0.120723365105214	0.9537		0.000147570750552384	0.131162953271537	0.830394802063515
	$\bT$	-0.00104135782959996	0.12955884371197	0.127088440403034	0.9466		-0.000760322470870989	0.156764805079792	0.683025618329965
	$X\bT$	0.00284503220115218	0.210162637133416	0.204887853521335	0.9457		0.000407213128141515	0.207373001757226	1.02708548173105
	$Z\bT$	-0.0011490794139456	0.129204344767006	0.130556831222288	0.9526		8.08459780328175e-05	0.205434800088559	0.395554389586846
1	$X$	0.0135423828346695	0.178336314821761	0.182324820759911	0.9542		0.000668799512330676	0.184550717384509	0.933787595967937
	$Z$	-0.00271793594576547	0.119363854354543	0.1226640460226	0.9578		-3.87318542761084e-05	0.133452125357364	0.800008642393988
	$\bT$	-0.00251188710150052	0.0996182818370864	0.0992874586148914	0.9508		0.000210051398659539	0.156859535893227	0.403326021619729
	$X\bT$	-0.00128048291026445	0.295803308487952	0.290884389514804	0.943		0.000814411989190855	0.293642920979455	1.01476851336786
	$Z\bT$	0.00295787734773401	0.169264312317132	0.169398006135339	0.9498		-0.00105271832568504	0.205956976028903	0.675426022526179
2	$X$	0.0391338959153231	0.272761949449678	0.286460071041501	0.9604		0.000657547688965254	0.303027242627978	0.810222358145566
	$Z$	-0.013020391126093	0.118601418118823	0.124624506203624	0.9608		0.000472287227519241	0.138660385070582	0.731602127915189
	$\bT$	-0.00244759209493195	0.102765531743096	0.103063595888413	0.9525		0.00057815928803423	0.157371495889797	0.426425140780528
	$X\bT$	-0.00316794122030517	0.438976284307971	0.438920375947202	0.9466		0.0023139072172107	0.463229577758677	0.898027327262358
	$Z\bT$	0.00256503571915467	0.181240222752644	0.182716063063392	0.9506		-0.00152309026731773	0.204936218747686	0.782117020034876
3	$X$	0.0896125882287755	0.369051806818389	0.408208227638082	0.9666		0.000866027085062948	0.451779800539952	0.667299889792636
	$Z$	-0.0248130702553849	0.114822495452864	0.126662062294984	0.9668		0.00064633845512585	0.145851546138275	0.6197719085592
	$\bT$	-0.00250994039533187	0.10659737168852	0.107919643828443	0.9547		0.000268636767249475	0.15650946034654	0.463886576373839
	$X\bT$	-0.00670215692406023	0.615785477669572	0.626682579150028	0.9523		0.00131697576713136	0.655979643174495	0.881207450849592
	$Z\bT$	0.00282435762244582	0.186286840476063	0.190818965386221	0.9534		-0.000856269235954221	0.205106176610363	0.8249105839141
