		SMLE					ACML		
r	Covariate	Bias	SE	SEE	CP		Bias	SE	RE
0	$X$	0.00226008511893128	0.130334591106739	0.130544565719207	0.9532		0.000590305615735864	0.130195526845841	1.00213737803179
	$Z$	0.00101956639542278	0.119540238190883	0.120732791974345	0.9536		0.000147570750552384	0.131162953271537	0.830626648683055
	$\bT$	-0.0014397014540164	0.130274914283986	0.127190794986187	0.9452		-0.000760322470870989	0.156764805079792	0.690596636127893
	$X\bT$	0.00363656227034315	0.211831324218294	0.205121311999318	0.9445		0.000407213128141515	0.207373001757226	1.04346030843802
	$Z\bT$	-0.00114029404093735	0.129257770644222	0.130573754793332	0.9527		8.08459780328175e-05	0.205434800088559	0.395881579968767
1	$X$	0.00747000155213778	0.181992173350448	0.184191180558343	0.9525		0.000668799512330676	0.184550717384509	0.972464927711661
	$Z$	-0.00154701706331256	0.121969133721425	0.124144451015401	0.9563		-3.87318542761084e-05	0.133452125357364	0.835312324242503
	$\bT$	-0.000797318875460251	0.0995306496986762	0.0992327534196398	0.9499		0.000210051398659539	0.156859535893227	0.402616738639422
	$X\bT$	0.00135629698663897	0.298572153475064	0.292105611613895	0.9411		0.000814411989190855	0.293642920979455	1.03385475612873
	$Z\bT$	-7.41361546841013e-05	0.172107769192058	0.171320613462576	0.9484		-0.00105271832568504	0.205956976028903	0.698309479474022
2	$X$	0.0191192522309673	0.287897835244594	0.295080768901452	0.9563		0.000657547688965254	0.303027242627978	0.902637662909505
	$Z$	-0.00615255892368649	0.125249270306509	0.128626988682959	0.9569		0.000472287227519241	0.138660385070582	0.815916291613655
	$\bT$	-0.000610765216592646	0.103860905180073	0.104080824144621	0.9524		0.00057815928803423	0.157371495889797	0.435564083298912
	$X\bT$	0.00137632530667287	0.446531505294991	0.443965316627722	0.9438		0.0023139072172107	0.463229577758677	0.929205236904804
	$Z\bT$	-0.000176044937936604	0.185473599358718	0.18593146067932	0.95		-0.00152309026731773	0.204936218747686	0.819080831588428
3	$X$	0.0423722810621254	0.40928839610143	0.433253001490447	0.9631		0.000866027085062948	0.451779800539952	0.82073932969682
	$Z$	-0.0114949100936802	0.127285654641144	0.134771315964391	0.9636		0.00064633845512585	0.145851546138275	0.761617380584709
	$\bT$	-0.000805598764025528	0.108589742572221	0.109923981516721	0.9541		0.000268636767249475	0.15650946034654	0.4813892848782
	$X\bT$	-0.00160561663090125	0.628265527528578	0.637329443596677	0.9527		0.00131697576713136	0.655979643174495	0.917288053456383
	$Z\bT$	0.000700159095043507	0.191149192983186	0.195188546332387	0.9518		-0.000856269235954221	0.205106176610363	0.868535270743444
